timestamp,cpu,memory,disk
1768747126.0790431,22.3,82.5,12.0
1768747129.0897,15.1,82.0,12.0
1768747132.097734,13.9,81.9,12.0
1768747135.108577,10.4,81.7,12.0
1768747138.111957,13.3,81.5,12.0
1768747141.1210072,27.7,83.2,12.0
1768747144.131237,12.4,81.5,12.0
1768747147.1394198,5.6,81.2,12.0
1768747150.148057,6.1,81.2,12.0
1768747153.158499,5.5,81.2,12.0
1768747156.165923,4.0,81.7,12.0
1768747159.173627,13.4,81.3,12.0
1768747162.185028,14.9,81.4,12.0
1768747165.192255,14.4,81.5,12.0
1768747168.2045991,28.1,82.3,12.0
1768747171.210697,32.6,83.5,12.0
1768747174.221718,11.1,81.5,12.1
1768747177.2332811,3.7,81.1,12.1
1768747180.2424462,24.3,81.0,12.1
1768747183.251609,23.6,80.3,12.1
1768747186.261046,22.5,80.8,12.1
1768747189.2716422,54.0,81.8,12.1
1768747192.2827652,13.7,81.8,12.1
1768747195.29485,10.1,81.7,12.1
1768747198.306129,10.7,81.6,12.1
1768747201.314296,18.3,81.8,12.1
1768747204.324568,1.5,81.3,12.1
1768747207.3331351,1.9,75.1,12.1
1768747210.3405719,3.3,75.2,12.1
1768747213.346559,2.6,75.4,12.1
1768747216.357742,2.1,75.4,12.1
1768747219.3691342,2.1,75.5,12.1
1768747222.380495,8.1,76.3,12.1
1768747225.3915179,2.6,76.1,12.1
1768747228.40289,1.1,76.0,12.1
1768747231.4143429,3.1,76.0,12.1
1768747234.423286,7.0,76.0,12.1
1768747237.4346728,9.2,77.3,12.1
1768747240.447777,8.9,76.9,12.1
1768747243.4579232,8.8,77.1,12.1
1768747246.466196,8.8,76.7,12.1
1768747249.475522,9.2,77.2,12.1
1768747252.4846861,8.2,76.9,12.1
1768747255.4945788,9.3,76.6,12.1
1768747258.50609,10.1,76.8,12.1
1768747261.516046,9.8,76.7,12.1
1768747264.525328,12.4,77.3,12.1
1768747267.5338,10.1,77.2,12.1
